All Inspections,All Inspections,inspection,,all,PQ,,
To view the Inspections objects,To view the Inspections objects,inspection,,view,PQ,,
To create the Inspections objects,To create the Inspections objects,inspection,,create,PQ,,
To edit the Inspections objects,To edit the Inspections objects,inspection,,edit,PQ,,
To delete the Inspections objects,To delete the Inspections objects,inspection,,delete,PQ,,
All Item Inspections,All Item Inspections,iteminspection,,all,PQ,,
To view the Item Inspections objects,To view the Item Inspections objects,iteminspection,,view,PQ,,
To create the Item Inspections objects,To create the Item Inspections objects,iteminspection,,create,PQ,,
To edit the Item Inspections objects,To edit the Item Inspections objects,iteminspection,,edit,PQ,,
To delete the Item Inspections objects,To delete the Item Inspections objects,iteminspection,,delete,PQ,,
All Material Inspections,All Material Inspections,materialinspection,,all,PQ,,
To view the Material Inspections objects,To view the Material Inspections objects,materialinspection,,view,PQ,,
To create the Material Inspections objects,To create the Material Inspections objects,materialinspection,,create,PQ,,
To edit the Material Inspections objects,To edit the Material Inspections objects,materialinspection,,edit,PQ,,
To delete the Material Inspections objects,To delete the Material Inspections objects,materialinspection,,delete,PQ,,
All Problem Reports,All Problem Reports,problemreport,,all,PQ,,
To view the Problem Reports objects,To view the Problem Reports objects,problemreport,,view,PQ,,
To create the Problem Reports objects,To create the Problem Reports objects,problemreport,,create,PQ,,
To edit the Problem Reports objects,To edit the Problem Reports objects,problemreport,,edit,PQ,,
To delete the Problem Reports objects,To delete the Problem Reports objects,problemreport,,delete,PQ,,
All NCRs,All NCRs,ncr,,all,PQ,,
To view the NCRs objects,To view the Inspections objects,ncr,,view,PQ,,
To create the NCRs objects,To create the NCRs objects,ncr,,create,PQ,,
To edit the NCRs objects,To edit the NCRs objects,ncr,,edit,PQ,,
To delete the NCRs objects,To delete the NCRs objects,ncr,,delete,PQ,,
All QCRs,All QCRs,qcr,,all,PQ,,
To view the QCRs objects,To view the QCRs objects,qcr,,view,PQ,,
To create the QCRs objects,To create the QCRs objects,qcr,,create,PQ,,
To edit the QCRs objects,To edit the QCRs objects,qcr,,edit,PQ,,
To delete the QCRs objects,To delete the QCRs objects,qcr,,delete,PQ,,
All Customers,All Customers,customer,,all,PLATFORM,,
To view the Customers objects,To view the Customers objects,customer,,view,PLATFORM,,
To create the Customers objects,To create the Customers objects,customer,,create,PLATFORM,,
To edit the Customers objects,To edit the Customers objects,customer,,edit,PLATFORM,,
To delete the Customers objects,To delete the Customers objects,customer,,delete,PLATFORM,,
All ECO,All ECO,change,eco,all,PE,,
To view the ECO objects,To view the ECO objects,change,eco,view,PE,,
To create the ECO objects,To create the ECO objects,change,eco,create,PE,,
To edit the ECO objects,To edit the ECO objects,change,eco,edit,PE,,
To delete the ECO objects,To delete the ECO objects,change,eco,delete,PE,,
All ECR,All ECR,change,ecr,all,PE,,
To view the ECR objects,To view the ECR objects,change,ecr,view,PE,,
To create the ECR objects,To create the ECR objects,change,ecr,create,PE,,
To edit the ECR objects,To edit the ECR objects,change,ecr,edit,PE,,
To delete the ECR objects,To delete the ECR objects,change,ecr,delete,PE,,
All MCO,All MCO,change,mco,all,PM,,
To view the MCO objects,To view the MCO objects,change,mco,view,PM,,
To create the MCO objects,To create the MCO objects,change,mco,create,PM,,
To edit the MCO objects,To edit the MCO objects,change,mco,edit,PM,,
To delete the MCO objects,To delete the MCO objects,change,mco,delete,PM,,
All Item MCO,All Item MCO,itemmco,,all,PM,,
To view the Item MCO objects,To view the Item MCO objects,itemmco,,view,PM,,
To create the Item MCO objects,To create the Item MCO objects,itemmco,,create,PM,,
To edit the Item MCO objects,To edit the Item MCO objects,itemmco,,edit,PM,,
To delete the Item MCO objects,To delete the Item MCO objects,itemmco,,delete,PM,,
All OEM Part MCO,All OEM Part MCO,oempartmco,,all,PM,,
